timestamp,cmd_vel_linear_x,cmd_vel_linear_y,cmd_vel_angular_z,odom_pos_x,odom_pos_y,odom_yaw
2025-05-21T00:07:33.578694,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:33.678860,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:33.778680,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:33.878679,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:33.978702,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.078761,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.178691,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.278687,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.378688,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.478804,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.578687,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.678685,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.778686,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.878688,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:34.978677,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.078667,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.178678,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.278825,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.378663,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.478678,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.578675,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.678665,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.778623,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.878734,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:35.978807,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.078750,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.178700,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.278676,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.378705,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.478780,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.578707,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.678697,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.778963,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.879026,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:07:36.979356,0.14772322344521516,0.0,0.0,0.014779774888276333,0.0,0.0
2025-05-21T00:07:37.078640,0.14772322344521516,0.0,0.0,0.029564057931565035,0.0,0.0
2025-05-21T00:07:37.179595,0.14772322344521516,0.0,0.0,0.0445067955795462,0.0,0.0
2025-05-21T00:07:37.278757,0.14772322344521516,0.0,0.0,0.05919823880554898,0.0,0.0
