timestamp,cmd_vel_linear_x,cmd_vel_linear_y,cmd_vel_angular_z,odom_pos_x,odom_pos_y,odom_yaw
2025-05-21T00:25:12.136039,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.236087,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.336026,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.436029,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.536084,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.636037,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.736031,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.836125,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:12.936068,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.036047,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.136033,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.236093,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.336097,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.436046,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.536114,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.636090,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.736052,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.836135,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:13.936082,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.036087,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.136046,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.236045,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.336020,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.436114,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.536045,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.636087,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.736059,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.836025,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:14.936045,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.036207,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.136029,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.236115,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.336050,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.436073,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.536048,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.636022,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.736058,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.836086,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:15.936038,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.036062,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.136042,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.236057,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.336028,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.436029,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.536181,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.636029,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21T00:25:16.736031,0.0,0.0,0.0,0.0,0.0,0.0
